Locality,Supply,Median_Price,Mean_Price,Price_Per_SqFt,Median_Area,Avg_BHK,Dominant_Type
"Belvedere Godrej Garden city, Sarkhej Gandhinagar Highway, Ahmedabad",1,120.0,120.0,5333.33,2250.0,4.0,Apartment
"Beverly The 31ST, Shilaj, Ahmedabad",2,349.0,349.0,10534.710000000001,3585.5,4.0,Apartment
"Bhadaj, Ahmedabad",3,84.0,83.0,6369.43,1413.0,2.6666666666666665,Apartment
"Bhagwat Elegance, Narolgam, Ahmedabad",1,28.0,28.0,2636.53,1062.0,2.0,Apartment
"Bhagwat Greens, Narolgam, Ahmedabad",1,42.0,42.0,4421.05,950.0,3.0,Apartment
"Bhaikakanagar, Ahmedabad",1,69.0,69.0,6900.0,1000.0,2.0,Apartment
"Bhairavnath Road, Ahmedabad",2,60.0,60.0,5641.025,1100.0,2.0,Apartment
"Bhakti Residency, D Colony, Ahmedabad",1,33.2,33.2,2837.61,1170.0,2.0,Apartment
"Bhat, Ahmedabad",2,351.0,351.0,8289.945,4950.0,4.5,Apartment
"Bhavya Royal Homes, Gota, Ahmedabad",3,95.0,92.66666666666667,6008.23,1620.0,2.6666666666666665,Apartment
"Bhilwas Khanpur, Ahmedabad",1,32.0,32.0,4183.01,765.0,2.0,Apartment
"Bhojaldham Residency, Nikol, Ahmedabad",1,23.8,23.8,3390.31,702.0,1.0,Apartment
"Bhuyangdev Cross Road, Ahmedabad",2,87.5,87.5,7057.9349999999995,1227.5,2.5,Apartment
"Binori Gracia, Bopal, Ahmedabad",2,86.5,86.5,5904.4349999999995,1465.0,3.0,Apartment
"Binori Sampada, North Bopal Road, Ahmedabad",1,65.0,65.0,4980.84,1305.0,3.0,Apartment
"Binori Sonnet, Bopal, Ahmedabad",1,58.0,58.0,6590.91,880.0,2.0,Apartment
"Bluvian Nivaasa, Shela, Ahmedabad",2,78.3,78.3,4474.285,1750.0,3.0,Apartment
"Bodakdev, Ahmedabad",7,175.0,165.57142857142858,7777.78,1800.0,3.5714285714285716,Apartment
"Bopal Ghuma Road, Ahmedabad",2,40.0,40.0,4318.655,927.0,2.0,Apartment
"Bopal, Ahmedabad",14,60.5,82.53571428571429,6304.385,983.5,2.5714285714285716,Apartment
"CP Nagar 1, Ahmedabad",1,105.0,105.0,5072.46,2070.0,3.0,Apartment
"Captown Enhance, Shilaj, Ahmedabad",2,109.75,109.75,8609.16,1325.5,3.0,Apartment
"Chanakyapuri, Ahmedabad",2,67.0,67.0,8174.605,787.5,2.0,Apartment
"Chanchal Saransh Earth, Vasna, Ahmedabad",2,60.0,60.0,8257.92,730.0,2.0,Apartment
"Chandkheda, Ahmedabad",29,58.0,68.53448275862068,6349.21,1050.0,2.206896551724138,Apartment
"Chandlodiya, Ahmedabad",7,55.0,53.0,5858.59,945.0,1.8571428571428572,Plot
"Chandra Nagar, Ahmedabad",3,85.0,88.33333333333333,6746.03,1200.0,2.3333333333333335,Apartment
"Chenpur Road, Ahmedabad",1,50.0,50.0,4055.15,1233.0,2.0,Apartment
"Chetak Radhe Nandan, Chharodi Sanand, Ahmedabad",1,34.0,34.0,4250.0,800.0,2.0,Villa/Bungalow
"Chharodi, Ahmedabad",3,118.0,117.66666666666667,7320.1,1612.0,3.0,Apartment
"Chimanlal Girdharlal Road, Ahmedabad",3,96.0,99.66666666666667,8066.67,1500.0,3.0,Villa/Bungalow
"Chinmay Crystal, Vastrapur, Ahmedabad",1,165.0,165.0,7801.42,2115.0,3.0,Apartment
"Chinmay Tower, Gurukul, Ahmedabad",1,60.0,60.0,5333.33,1125.0,3.0,Apartment
"Chitrakut Apartment, Naranpura, Ahmedabad",1,55.0,55.0,4400.0,1250.0,3.0,Apartment
"City Shahibaug Greens, Shahibag, Ahmedabad",1,85.0,85.0,1165.98,7290.0,2.0,Apartment
"Copper Stone, Thaltej, Ahmedabad",1,350.0,350.0,10294.12,3400.0,4.0,Apartment
"Creative Al Burooj, Makarba Road, Ahmedabad",1,115.0,115.0,7419.35,1550.0,3.0,Apartment
"DB Diwali Elegance, Tragad, Ahmedabad",1,63.0,63.0,4242.42,1485.0,3.0,Apartment
"DB Diwali Elegance, Vaishnodevi Circle, Ahmedabad",2,69.9,69.9,5683.54,1274.0,3.0,Apartment
"DB Diwali Homes, Chandkheda, Ahmedabad",1,44.0,44.0,4214.56,1044.0,2.0,Apartment
"DR Praharsh Bluebell, South Bopal, Bopal, Ahmedabad",5,88.0,88.44,5013.93,1795.0,3.0,Apartment
"DR Praharsh Platinium, Shela, Ahmedabad",1,80.0,80.0,5351.17,1495.0,3.0,Apartment
"Darshan Alok Paradise 2, Vastral, Ahmedabad",1,47.0,47.0,4017.09,1170.0,2.0,Apartment
"Darshan Apartment, Naroda, Ahmedabad",1,91.0,91.0,6691.18,1360.0,3.0,Apartment
"Deep Indraprasth Shivanta, Ambli, Ahmedabad",4,222.5,225.25,12028.57,1750.0,4.0,Apartment
"Deep Satyadeep Heights, Prahlad Nagar, Ahmedabad",2,91.0,91.0,7248.015,1245.0,2.5,Apartment
"Dev City, Chandlodiya, Ahmedabad",1,52.5,52.5,9162.3,573.0,2.0,Plot
"Dev Exotica, Ghuma, Ahmedabad",1,40.0,40.0,3902.44,1025.0,2.0,Apartment
"Dev Kasturi Pride, Nikol, Ahmedabad",1,62.0,62.0,4960.0,1250.0,2.0,Apartment
"Dev Krupa IV, Nikol, Ahmedabad",1,38.0,38.0,3127.57,1215.0,2.0,Apartment
"Dev Parisar, Chandkheda, Ahmedabad",1,90.0,90.0,8653.85,1040.0,3.0,Apartment
"Dev Parivesh, Sabarmati, Ahmedabad",1,78.0,78.0,8176.1,954.0,3.0,Apartment
"Dev manek Apartment, Akruti Township, Ahmedabad",1,15.0,15.0,3030.3,495.0,1.0,Apartment
"Devas Apartment, Vasna, Ahmedabad",1,55.0,55.0,7638.89,720.0,2.0,Apartment
"Devashray City, Sardar Patel Ring Road, Ahmedabad",3,16.0,15.833333333333334,2503.91,630.0,1.0,Apartment
"Devkinandan Parmeshwar 4, Chandkheda, Ahmedabad",2,47.5,47.5,6246.805,758.5,1.5,Apartment
"Devkrupa Avenue, Hathijan, Ahmedabad",1,40.0,40.0,3879.73,1031.0,3.0,Apartment
"Devkrupa Crystal, Hathijan, Ahmedabad",2,34.25,34.25,2777.7799999999997,1233.0,2.0,Apartment
"Devkunj Apartment, Motera, Ahmedabad",1,85.0,85.0,9081.2,936.0,3.0,Villa/Bungalow
"Devnandan Altezza, Nigam Nagar, Chandkheda, Ahmedabad",1,62.0,62.0,6560.85,945.0,2.0,Apartment
"Devnandan Gunjan Flat, Ahmedabad",1,110.0,110.0,6285.71,1750.0,3.0,Apartment
"Devnandan Infinity, Motera, Ahmedabad",2,75.0,75.0,4970.0,1505.0,2.5,Apartment
"Devnandan Park, Nikol Naroda Road, Ahmedabad",2,38.5,38.5,3482.46,1107.0,2.0,Apartment
"Devnandan Residency, Nikol, Ahmedabad",1,38.0,38.0,3740.16,1016.0,2.0,Apartment
